Model,elpd_loo,se_elpd_loo,p_loo,elpd_waic,se_elpd_waic,p_waic,idata
horseshoe_regularised,-1021.3720855951183,47.173126693866024,93.76652457025205,-1022.2911602659373,48.23038995788085,94.68559924107107,"Inference data with groups:
	> posterior
	> log_likelihood
	> sample_stats"
horseshoe,-1023.3744778740711,48.629220011454706,79.98486279897702,-1026.2117196666447,50.84873472483251,82.82210459155073,"Inference data with groups:
	> posterior
	> log_likelihood
	> sample_stats"
cauchy,-1024.4772339767705,49.411278233204875,79.97722284793736,-1023.3766960145801,48.98787924981535,78.87668488574715,"Inference data with groups:
	> posterior
	> log_likelihood
	> sample_stats"
laplace,-1027.4665366866227,45.78339821659797,136.32016723776508,-1026.8540630342445,46.66247715339339,135.70769358538692,"Inference data with groups:
	> posterior
	> log_likelihood
	> sample_stats"
normal,-1136.7120090449325,38.54295120164039,281.7524441697982,-1115.9577975964764,38.32042160242697,260.99823272134233,"Inference data with groups:
	> posterior
	> log_likelihood
	> sample_stats"
