Model,elpd_loo,se_elpd_loo,p_loo,elpd_waic,se_elpd_waic,p_waic,idata
horseshoe,-163.69184509470952,14.720466614309343,9.976482074208917,-163.66006398161448,14.718288945334184,9.944700961113874,"Inference data with groups:
	> posterior
	> log_likelihood
	> sample_stats"
laplace,-164.49628711275716,14.674482520813212,10.789565780599048,-164.4565454560218,14.670737454464232,10.749824123863673,"Inference data with groups:
	> posterior
	> log_likelihood
	> sample_stats"
cauchy,-164.6943510572322,14.813323112528282,11.020388673796674,-164.6513187383689,14.80980529528762,10.977356354933349,"Inference data with groups:
	> posterior
	> log_likelihood
	> sample_stats"
horseshoe_regularised,-165.00050571490095,13.529615551825875,9.107030368520725,-164.97306601940426,13.52768264845414,9.079590673024075,"Inference data with groups:
	> posterior
	> log_likelihood
	> sample_stats"
normal,-165.17986114871968,15.563580455654296,11.897098642826705,-165.14314051483873,15.561397441075432,11.860378008945744,"Inference data with groups:
	> posterior
	> log_likelihood
	> sample_stats"
