Model,elpd_loo,se_elpd_loo,p_loo,elpd_waic,se_elpd_waic,p_waic,idata
horseshoe,-0.8183934633502048,0.18344018575777948,0.6653667134520518,-0.4073915629322395,0.1116675086806057,0.2543648130340864,"Inference data with groups:
	> posterior
	> log_likelihood
	> sample_stats"
cauchy,-0.8457907706989678,0.14007281262650537,0.663768692981054,-0.4746320843309435,0.08428103326850499,0.2926100066130297,"Inference data with groups:
	> posterior
	> log_likelihood
	> sample_stats"
normal,-1.1865795630007483,0.2511716912169614,0.9716281093415962,-0.6755340424799424,0.14214997019023212,0.46058258882079023,"Inference data with groups:
	> posterior
	> log_likelihood
	> sample_stats"
laplace,-4.046116335783508,0.7136289328680189,2.685750735484471,-3.102571015158601,0.4782203440707458,1.7422054148595638,"Inference data with groups:
	> posterior
	> log_likelihood
	> sample_stats"
horseshoe_regularised,-5.5541599030491495,0.6252517817825589,2.552779465928941,-5.153820649153947,0.5120056552913445,2.1524402120337385,"Inference data with groups:
	> posterior
	> log_likelihood
	> sample_stats"
