Model,elpd_loo,se_elpd_loo,p_loo,elpd_waic,se_elpd_waic,p_waic,idata
horseshoe,-190.65934632754664,15.356972570950589,9.389301687630905,-190.62956498669507,15.35379458475283,9.35952034677936,"Inference data with groups:
	> posterior
	> log_likelihood
	> sample_stats"
cauchy,-190.72358572969574,15.384339801480783,9.527451988954454,-190.69109297749839,15.380897259887654,9.494959236757106,"Inference data with groups:
	> posterior
	> log_likelihood
	> sample_stats"
horseshoe_regularised,-190.7736373166928,14.473785763704264,8.049858005236075,-190.75518901812114,14.47268567857932,8.031409706664384,"Inference data with groups:
	> posterior
	> log_likelihood
	> sample_stats"
laplace,-191.43362455126993,15.417392260244636,10.717401367708305,-191.40430435578912,15.41537023067568,10.688081172227509,"Inference data with groups:
	> posterior
	> log_likelihood
	> sample_stats"
normal,-192.26871714085962,16.090101330260882,11.848333549831466,-192.2324554612573,16.086869392120025,11.812071870229188,"Inference data with groups:
	> posterior
	> log_likelihood
	> sample_stats"
