Model,elpd_loo,se_elpd_loo,p_loo,elpd_waic,se_elpd_waic,p_waic,idata
horseshoe,-1582.8602328239747,43.58115386039597,10.247048193208457,-1582.8464076355394,43.580744699821615,10.23322300477353,"Inference data with groups:
	> posterior
	> log_likelihood
	> sample_stats"
horseshoe_regularised,-1583.1147009941305,43.11752872485335,10.069702554934793,-1583.1002101604117,43.117087173414255,10.055211721216374,"Inference data with groups:
	> posterior
	> log_likelihood
	> sample_stats"
cauchy,-1583.1458533345967,43.63306058806764,10.609060835191485,-1583.1303763917256,43.632575149269606,10.593583892320298,"Inference data with groups:
	> posterior
	> log_likelihood
	> sample_stats"
laplace,-1583.2980443314868,43.583801623800724,10.786406621264632,-1583.2835383047009,43.583378078531155,10.771900594478833,"Inference data with groups:
	> posterior
	> log_likelihood
	> sample_stats"
normal,-1583.325282259807,43.83967399107684,10.864432207461505,-1583.3102718922942,43.83920863027025,10.849421839948636,"Inference data with groups:
	> posterior
	> log_likelihood
	> sample_stats"
