Model,elpd_loo,se_elpd_loo,p_loo,elpd_waic,se_elpd_waic,p_waic,idata
horseshoe,-177.51816900598902,15.560012375175033,8.253237858338053,-177.49289422461575,15.556977255841602,8.227963076964773,"Inference data with groups:
	> posterior
	> log_likelihood
	> sample_stats"
horseshoe_regularised,-177.84769168627798,14.61838952890934,7.303468124472147,-177.82823584767783,14.616747550363414,7.284012285872004,"Inference data with groups:
	> posterior
	> log_likelihood
	> sample_stats"
cauchy,-177.94015631806892,15.608552656306955,8.686435634599007,-177.91599440817103,15.606379813251749,8.662273724701127,"Inference data with groups:
	> posterior
	> log_likelihood
	> sample_stats"
laplace,-179.33202031368387,15.481867694201556,10.628947183963021,-179.29968197877295,15.479618984575769,10.596608849052096,"Inference data with groups:
	> posterior
	> log_likelihood
	> sample_stats"
normal,-180.02381470868602,16.179855817715666,11.643035556992402,-179.98590547647302,16.17750927890929,11.605126324779397,"Inference data with groups:
	> posterior
	> log_likelihood
	> sample_stats"
